Instance;GeoSteiner;Branch;Smith_Fixed;Smith_Star;Smith
cube_n12_d2_s27;0,0000;0,0000;0,0000;0,0000;0,0746
cube_n12_d2_s28;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s29;0,0000;0,0000;0,0000;0,0000;0,0271
cube_n12_d2_s2;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s30;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s31;0,0000;0,0000;0,0000;0,0000;0,0009
cube_n12_d2_s32;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s33;0,0000;0,0000;0,0000;0,0000;0,0050
cube_n12_d2_s34;0,0000;0,0000;0,0000;0,0000;0,0051
cube_n12_d2_s35;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s36;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s37;0,0000;0,0000;0,0000;0,0000;0,0190
cube_n12_d2_s38;0,0000;0,0000;0,0000;0,0000;0,0242
cube_n12_d2_s39;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s3;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s40;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s41;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s42;0,0000;0,0000;0,0000;0,0000;0,0436
cube_n12_d2_s43;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s44;0,0000;0,0000;0,0000;0,0000;0,0277
cube_n12_d2_s45;0,0000;0,0000;0,0000;0,0000;0,0110
cube_n12_d2_s46;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s47;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s48;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s49;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s4;0,0000;0,0000;0,0000;0,0000;0,0888
cube_n12_d2_s50;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s5;0,0000;0,0000;0,0000;0,0000;0,0546
cube_n12_d2_s6;0,0000;0,0000;0,0000;0,0000;0,0267
cube_n12_d2_s7;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s8;0,0000;0,0000;0,0000;0,0000;0,0287
cube_n12_d2_s9;0,0000;0,0000;0,0000;0,0000;0,0049
estein10_1;0,0000;0,0000;0,0000;0,0000;0,0000
estein10_2;0,0000;0,0000;0,0000;0,0000;0,0005
estein1_1;0,0000;0,0000;0,0000;0,0000;0,0000
estein1_2;0,0000;0,0000;0,0000;0,0000;0,0000
estein1_3;0,0000;0,0000;0,0000;0,0000;0,0000
estein1_4;0,0000;0,0000;0,0000;0,0000;0,0000
estein1_5;0,0000;0,0000;0,0000;0,0000;0,0000
estein1_6;0,0000;0,0000;0,0000;0,0000;0,0000
estein1_7;0,0000;0,0000;0,0000;0,0000;0,0000
estein1_8;0,0000;0,0000;0,0000;0,0000;0,0000
